Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation,Cost_Per_Package
Bamboo Fiber,50.3,7.1,95.0,0.52,34.4,8,Highly Recommended,211.6
Virgin Plastic (PP),62.5,6.6,3.6,3.8,29.9,10,Avoid,241.0
Virgin Plastic (PP),77.2,3.4,0.8,5.69,15.2,10,Avoid,238.4
Bamboo Fiber,53.7,1.1,97.0,0.94,35.9,7,Highly Recommended,153.4
Virgin Plastic (PP),70.7,9.4,0.7,5.64,29.6,10,Avoid,285.4
Edible Seaweed Film,9.4,0.9,100.0,0.6,9.2,4,Consider as Option,47.8
Virgin Plastic (PP),75.8,0.5,2.4,4.04,27.5,10,Avoid,206.6
Bagasse (Sugarcane),23.7,4.2,96.9,1.27,65.2,6,Highly Recommended,119.4
Virgin Plastic (PP),69.7,2.1,3.0,4.12,27.9,10,Avoid,210.4
Mushroom Mycelium,24.8,8.4,100.0,0.15,100.0,5,Highly Recommended,158.6
Bamboo Fiber,49.1,9.7,99.0,0.53,34.1,8,Highly Recommended,235.2
Aluminum Foil,42.9,1.3,0.0,10.72,100.0,10,Avoid,148.8
Edible Seaweed Film,14.8,2.1,100.0,0.21,2.5,2,Consider as Option,60.6
Recycled Cardboard,27.4,2.0,91.9,1.33,84.7,5,Highly Recommended,99.8
Aluminum Foil,34.3,4.5,0.0,10.53,90.3,10,Avoid,163.6
Mushroom Mycelium,20.5,5.2,100.0,0.36,100.0,4,Highly Recommended,113.0
Bagasse (Sugarcane),34.8,9.7,97.4,1.28,55.3,6,Highly Recommended,196.6
Mushroom Mycelium,14.6,1.9,100.0,0.37,100.0,4,Highly Recommended,68.2
Aluminum Foil,33.7,5.5,0.0,11.19,98.9,10,Avoid,172.4
Aluminum Foil,35.9,8.9,0.0,9.96,93.2,10,Avoid,210.8
Bioplastic (PLA),60.4,9.3,85.3,1.92,58.1,9,Highly Recommended,258.8
Recycled Cardboard,18.5,9.1,90.3,0.83,92.1,4,Highly Recommended,148.0
Aluminum Foil,27.0,4.8,0.0,9.46,95.3,10,Avoid,152.0
Virgin Plastic (PP),83.8,2.1,4.0,5.03,14.9,10,Avoid,238.6
Bamboo Fiber,58.8,2.9,96.5,0.64,45.8,6,Highly Recommended,176.6
Bamboo Fiber,53.4,6.4,99.0,0.81,43.5,8,Highly Recommended,210.8
Mushroom Mycelium,18.0,8.6,100.0,0.24,100.0,6,Highly Recommended,152.0
Aluminum Foil,24.2,4.8,0.0,10.76,98.7,10,Avoid,146.4
Edible Seaweed Film,14.2,6.3,100.0,0.57,5.4,4,Consider as Option,111.4
Edible Seaweed Film,13.0,9.4,100.0,0.58,1.5,2,Consider as Option,130.0
Edible Seaweed Film,7.4,0.8,100.0,0.47,9.4,3,Consider as Option,37.8
Virgin Plastic (PP),70.9,7.0,0.4,5.79,19.5,10,Avoid,261.8
Bamboo Fiber,55.9,9.7,98.9,1.04,47.4,7,Highly Recommended,243.8
Virgin Plastic (PP),77.3,8.7,4.3,3.91,11.1,10,Avoid,291.6
Bagasse (Sugarcane),26.8,9.3,99.0,1.04,64.3,7,Highly Recommended,181.6
Bioplastic (PLA),71.3,4.7,86.4,1.72,51.5,8,Highly Recommended,229.6
Virgin Plastic (PP),78.2,4.3,1.6,3.83,21.8,10,Avoid,249.4
Mushroom Mycelium,18.1,9.9,100.0,0.35,100.0,4,Highly Recommended,155.2
Bamboo Fiber,40.4,6.7,97.5,0.61,33.6,6,Highly Recommended,177.8
Bagasse (Sugarcane),32.1,1.7,99.5,1.32,54.2,7,Highly Recommended,116.2
Aluminum Foil,28.9,9.3,0.0,11.45,97.9,10,Avoid,200.8
Edible Seaweed Film,6.1,1.1,100.0,0.4,3.2,4,Consider as Option,43.2
Virgin Plastic (PP),72.6,6.5,3.6,5.84,25.8,10,Avoid,260.2
Aluminum Foil,39.9,1.5,0.0,8.56,94.8,10,Avoid,144.8
Bioplastic (PLA),56.4,9.9,85.6,2.22,57.6,9,Highly Recommended,256.8
Aluminum Foil,29.1,5.0,0.0,10.24,99.4,10,Avoid,158.2
Aluminum Foil,37.3,3.6,0.0,9.08,93.2,10,Avoid,160.6
Virgin Plastic (PP),82.7,9.3,4.0,4.17,29.0,10,Avoid,308.4
Virgin Plastic (PP),89.7,4.6,2.3,5.34,28.9,10,Avoid,275.4
Recycled Cardboard,28.0,6.3,93.9,1.07,85.0,5,Highly Recommended,144.0
Edible Seaweed Film,10.8,1.2,100.0,0.36,2.4,3,Consider as Option,48.6
Recycled Cardboard,30.7,8.6,93.7,0.96,99.6,3,Highly Recommended,162.4
Recycled Cardboard,32.8,2.0,92.1,1.13,93.0,3,Highly Recommended,100.6
Edible Seaweed Film,7.3,0.6,100.0,0.36,5.3,3,Consider as Option,35.6
Recycled Cardboard,24.3,5.3,93.1,1.23,92.5,3,Highly Recommended,116.6
Aluminum Foil,38.7,8.6,0.0,8.35,93.7,10,Avoid,213.4
Bagasse (Sugarcane),23.5,2.2,98.9,1.28,51.2,7,Highly Recommended,104.0
Aluminum Foil,21.2,9.9,0.0,8.12,95.9,10,Avoid,191.4
Bamboo Fiber,51.4,9.1,95.0,1.02,31.5,6,Highly Recommended,223.8
Bagasse (Sugarcane),36.9,8.0,99.1,1.0,55.0,5,Highly Recommended,178.8
Virgin Plastic (PP),70.0,4.3,4.4,4.95,21.4,10,Avoid,233.0
Virgin Plastic (PP),62.3,4.6,1.0,4.92,28.4,10,Avoid,220.6
Bamboo Fiber,46.0,6.1,98.9,0.87,34.6,6,Highly Recommended,183.0
Virgin Plastic (PP),64.3,3.8,0.5,4.59,14.5,10,Avoid,216.6
Bamboo Fiber,43.8,1.9,97.1,0.74,40.3,7,Highly Recommended,141.6
Mushroom Mycelium,23.7,7.2,100.0,0.29,100.0,4,Highly Recommended,139.4
Bamboo Fiber,42.0,3.6,98.6,0.84,30.2,8,Highly Recommended,160.0
Recycled Cardboard,19.3,9.4,99.6,1.49,86.3,5,Highly Recommended,157.6
Mushroom Mycelium,20.0,2.5,100.0,0.39,100.0,6,Highly Recommended,95.0
Aluminum Foil,31.2,9.8,0.0,10.64,94.8,10,Avoid,210.4
Aluminum Foil,26.0,2.9,0.0,8.27,91.2,10,Avoid,131.0
Mushroom Mycelium,10.7,7.8,100.0,0.38,100.0,6,Highly Recommended,129.4
Bagasse (Sugarcane),32.4,2.7,97.6,1.14,55.2,6,Highly Recommended,121.8
Bioplastic (PLA),67.0,3.5,88.7,2.5,44.5,9,Consider as Option,214.0
Mushroom Mycelium,10.5,7.6,100.0,0.12,100.0,4,Highly Recommended,117.0
Edible Seaweed Film,13.2,6.6,100.0,0.41,0.3,4,Consider as Option,112.4
Bamboo Fiber,41.7,5.4,95.9,1.15,47.8,8,Highly Recommended,177.4
Mushroom Mycelium,10.2,8.9,100.0,0.24,100.0,5,Highly Recommended,134.4
Bagasse (Sugarcane),30.1,9.0,96.9,1.32,62.7,6,Highly Recommended,180.2
Bagasse (Sugarcane),26.9,8.4,95.6,0.99,63.5,5,Highly Recommended,162.8
Edible Seaweed Film,11.3,1.3,100.0,0.39,5.3,2,Consider as Option,45.6
Virgin Plastic (PP),85.3,5.2,3.4,3.61,14.5,10,Avoid,272.6
Mushroom Mycelium,13.9,1.1,100.0,0.34,100.0,4,Highly Recommended,58.8
Aluminum Foil,25.0,5.4,0.0,8.92,96.9,10,Avoid,154.0
Virgin Plastic (PP),73.8,8.9,4.4,4.91,29.7,10,Avoid,286.6
Bioplastic (PLA),58.3,7.4,82.5,2.29,48.6,8,Consider as Option,230.6
Aluminum Foil,33.6,6.5,0.0,10.6,94.6,10,Avoid,182.2
Virgin Plastic (PP),77.5,3.9,2.4,5.8,21.5,10,Avoid,244.0
Recycled Cardboard,18.6,8.6,96.5,1.1,84.5,5,Highly Recommended,148.2
Bagasse (Sugarcane),31.0,8.6,98.8,1.24,56.8,7,Highly Recommended,183.0
Bioplastic (PLA),65.4,4.3,91.1,2.12,40.3,9,Highly Recommended,218.8
Bioplastic (PLA),54.3,3.2,85.6,2.49,41.3,9,Consider as Option,185.6
Mushroom Mycelium,12.0,0.9,100.0,0.27,100.0,5,Highly Recommended,58.0
Aluminum Foil,24.1,2.2,0.0,10.61,94.5,10,Avoid,120.2
Mushroom Mycelium,22.0,4.2,100.0,0.22,100.0,5,Highly Recommended,111.0
Recycled Cardboard,24.6,8.4,94.0,1.33,94.0,3,Highly Recommended,148.2
Mushroom Mycelium,20.4,5.4,100.0,0.31,100.0,4,Highly Recommended,114.8
Mushroom Mycelium,21.3,0.8,100.0,0.3,100.0,4,Highly Recommended,70.6
Mushroom Mycelium,15.7,4.2,100.0,0.3,100.0,5,Highly Recommended,98.4
Edible Seaweed Film,13.7,9.8,100.0,0.25,3.2,3,Consider as Option,140.4
Aluminum Foil,21.1,2.0,0.0,10.39,92.5,10,Avoid,112.2
Recycled Cardboard,31.1,2.3,94.1,1.27,87.5,4,Highly Recommended,105.2
Virgin Plastic (PP),69.4,9.4,1.4,5.42,20.7,10,Avoid,282.8
Aluminum Foil,26.2,6.5,0.0,10.87,90.7,10,Avoid,167.4
Recycled Cardboard,32.6,5.4,92.5,1.46,91.1,5,Highly Recommended,144.2
Bioplastic (PLA),70.0,9.6,92.1,2.18,41.3,8,Highly Recommended,276.0
Aluminum Foil,38.1,8.2,0.0,8.1,92.7,10,Avoid,208.2
Recycled Cardboard,32.5,7.8,93.5,1.07,83.9,5,Highly Recommended,168.0
Bagasse (Sugarcane),25.4,6.4,98.1,1.33,50.7,5,Highly Recommended,139.8
Aluminum Foil,42.6,3.9,0.0,10.01,96.0,10,Avoid,174.2
Virgin Plastic (PP),82.0,2.0,0.6,4.89,16.8,10,Avoid,234.0
Mushroom Mycelium,22.0,7.4,100.0,0.25,100.0,4,Highly Recommended,138.0
Aluminum Foil,40.3,0.8,0.0,8.01,91.8,10,Avoid,138.6
Bamboo Fiber,60.0,7.8,96.8,0.6,35.0,7,Highly Recommended,233.0
Bagasse (Sugarcane),22.6,5.6,95.7,0.99,67.2,5,Highly Recommended,126.2
Virgin Plastic (PP),85.0,1.1,1.8,4.73,10.6,10,Avoid,231.0
Bagasse (Sugarcane),22.5,1.9,98.3,1.16,55.4,5,Highly Recommended,89.0
Bamboo Fiber,46.6,1.5,96.3,0.77,32.2,7,Highly Recommended,143.2
Virgin Plastic (PP),62.3,8.5,0.2,4.64,12.9,10,Avoid,259.6
Virgin Plastic (PP),61.7,8.3,3.9,5.61,26.8,10,Avoid,256.4
Bioplastic (PLA),64.7,7.1,83.1,2.41,59.3,8,Consider as Option,240.4
Mushroom Mycelium,19.2,7.6,100.0,0.23,100.0,6,Highly Recommended,144.4
Recycled Cardboard,33.1,4.2,99.0,1.34,84.7,5,Highly Recommended,133.2
Virgin Plastic (PP),78.7,0.8,0.8,4.06,25.3,10,Avoid,215.4
Bagasse (Sugarcane),38.3,4.3,95.5,1.32,61.5,7,Highly Recommended,154.6
Virgin Plastic (PP),89.1,8.1,0.3,4.07,29.9,10,Avoid,309.2
Aluminum Foil,33.9,5.6,0.0,11.18,93.5,10,Avoid,173.8
Virgin Plastic (PP),80.7,4.5,2.4,4.87,22.8,10,Avoid,256.4
Recycled Cardboard,30.2,4.0,93.8,1.36,81.1,5,Highly Recommended,125.4
Bamboo Fiber,47.6,9.6,98.2,0.69,30.3,6,Highly Recommended,221.2
Bioplastic (PLA),54.1,9.4,89.6,1.97,59.2,9,Highly Recommended,247.2
Mushroom Mycelium,21.8,2.0,100.0,0.27,100.0,6,Highly Recommended,93.6
Mushroom Mycelium,19.3,5.8,100.0,0.13,100.0,4,Highly Recommended,116.6
Mushroom Mycelium,19.2,8.0,100.0,0.21,100.0,4,Highly Recommended,138.4
Edible Seaweed Film,12.0,6.4,100.0,0.23,4.9,3,Consider as Option,103.0
Edible Seaweed Film,9.6,4.6,100.0,0.53,0.5,2,Consider as Option,75.2
Aluminum Foil,36.3,2.2,0.0,11.67,91.0,10,Avoid,144.6
Edible Seaweed Film,12.9,5.4,100.0,0.3,1.4,2,Consider as Option,89.8
Recycled Cardboard,25.4,2.0,91.0,0.81,84.4,3,Highly Recommended,85.8
Virgin Plastic (PP),88.4,1.6,1.4,4.7,12.0,10,Avoid,242.8
Virgin Plastic (PP),71.2,8.9,1.0,5.82,18.8,10,Avoid,281.4
Aluminum Foil,44.4,8.5,0.0,10.04,100.0,10,Avoid,223.8
Bioplastic (PLA),53.8,5.2,94.1,1.94,53.2,9,Highly Recommended,204.6
Bagasse (Sugarcane),31.9,2.6,99.8,0.99,62.3,6,Highly Recommended,119.8
Bioplastic (PLA),50.2,4.5,91.7,2.28,44.6,8,Highly Recommended,185.4
Bioplastic (PLA),62.6,4.2,91.3,2.33,55.8,8,Highly Recommended,207.2
Virgin Plastic (PP),84.9,3.1,3.9,3.82,23.1,10,Avoid,250.8
Bagasse (Sugarcane),39.5,8.7,95.5,1.22,55.2,5,Highly Recommended,191.0
Bagasse (Sugarcane),38.4,7.9,98.0,1.18,65.9,5,Highly Recommended,180.8
Bioplastic (PLA),70.6,9.6,93.2,2.39,41.0,9,Highly Recommended,282.2
Bamboo Fiber,48.7,5.0,100.0,1.19,44.3,8,Highly Recommended,187.4
Edible Seaweed Film,13.9,6.1,100.0,0.31,8.5,4,Consider as Option,108.8
Virgin Plastic (PP),62.2,3.6,4.0,3.99,11.0,10,Avoid,210.4
Bioplastic (PLA),74.2,3.3,88.8,2.26,58.9,8,Highly Recommended,221.4
Recycled Cardboard,25.2,8.7,96.7,1.43,93.2,5,Highly Recommended,162.4
Bamboo Fiber,52.1,9.2,99.3,0.76,38.0,6,Highly Recommended,226.2
Aluminum Foil,34.2,9.4,0.0,9.96,96.9,10,Avoid,212.4
Virgin Plastic (PP),71.7,6.6,1.2,5.16,26.5,10,Avoid,259.4
Bagasse (Sugarcane),34.9,8.9,97.4,1.18,59.0,7,Highly Recommended,193.8
Edible Seaweed Film,5.6,7.2,100.0,0.48,3.7,3,Consider as Option,98.2
Aluminum Foil,22.9,6.3,0.0,8.45,98.0,10,Avoid,158.8
Mushroom Mycelium,20.7,2.8,100.0,0.36,100.0,6,Highly Recommended,99.4
Edible Seaweed Film,14.9,4.5,100.0,0.34,0.2,2,Consider as Option,84.8
Edible Seaweed Film,11.3,4.3,100.0,0.36,5.3,3,Consider as Option,80.6
Mushroom Mycelium,16.1,4.3,100.0,0.32,100.0,5,Highly Recommended,100.2
Virgin Plastic (PP),82.2,5.2,3.6,4.97,12.5,10,Avoid,266.4
Virgin Plastic (PP),84.0,6.3,3.3,4.03,19.4,10,Avoid,281.0
Mushroom Mycelium,21.6,1.7,100.0,0.11,100.0,5,Highly Recommended,85.2
Recycled Cardboard,20.0,3.9,95.2,1.08,84.4,4,Highly Recommended,99.0
Bagasse (Sugarcane),26.8,0.7,95.1,1.26,64.0,7,Highly Recommended,95.6
Bamboo Fiber,47.8,1.0,97.1,1.18,47.2,8,Highly Recommended,145.6
Bagasse (Sugarcane),28.9,5.2,96.0,1.4,59.9,6,Highly Recommended,139.8
Virgin Plastic (PP),87.7,6.2,2.4,4.7,20.0,10,Avoid,287.4
Edible Seaweed Film,8.5,6.8,100.0,0.25,7.4,2,Consider as Option,95.0
Aluminum Foil,20.2,3.8,0.0,11.43,93.7,10,Avoid,128.4
Bagasse (Sugarcane),20.9,8.1,97.2,1.35,64.3,5,Highly Recommended,147.8
Recycled Cardboard,31.6,8.9,92.3,1.13,80.9,3,Highly Recommended,167.2
Bagasse (Sugarcane),35.5,2.5,99.5,0.93,53.1,5,Highly Recommended,121.0
Recycled Cardboard,18.7,4.2,99.1,1.28,94.5,4,Highly Recommended,99.4
Bioplastic (PLA),67.0,6.1,91.5,2.33,58.5,9,Highly Recommended,240.0
Recycled Cardboard,30.6,6.4,97.2,0.85,93.3,4,Highly Recommended,145.2
Mushroom Mycelium,11.0,2.1,100.0,0.2,100.0,5,Highly Recommended,68.0
Bamboo Fiber,53.4,6.1,100.0,1.07,35.9,6,Highly Recommended,197.8
Mushroom Mycelium,14.2,9.9,100.0,0.25,100.0,4,Highly Recommended,147.4
Bioplastic (PLA),61.5,2.3,87.4,2.3,43.9,8,Consider as Option,186.0
Bamboo Fiber,48.0,0.6,98.2,0.94,48.1,6,Highly Recommended,132.0
Aluminum Foil,21.7,4.6,0.0,11.62,94.2,10,Avoid,139.4
Bagasse (Sugarcane),27.6,3.3,97.4,1.39,68.9,5,Highly Recommended,113.2
Aluminum Foil,33.9,1.6,0.0,9.9,96.7,10,Avoid,133.8
Virgin Plastic (PP),71.6,1.5,4.0,5.7,13.6,10,Avoid,208.2
Bagasse (Sugarcane),21.8,4.6,96.4,1.15,67.4,7,Highly Recommended,124.6
Bioplastic (PLA),51.0,0.9,91.4,1.62,54.4,8,Highly Recommended,151.0
Mushroom Mycelium,15.3,9.1,100.0,0.14,100.0,5,Highly Recommended,146.6
Recycled Cardboard,20.7,2.7,91.2,1.38,93.3,4,Highly Recommended,88.4
Bioplastic (PLA),62.6,5.4,86.8,1.87,41.1,8,Consider as Option,219.2
Virgin Plastic (PP),77.4,2.0,2.1,3.51,21.7,10,Avoid,224.8
Bagasse (Sugarcane),30.3,4.7,95.7,1.32,60.7,5,Highly Recommended,132.6
Bagasse (Sugarcane),25.5,0.9,95.9,1.05,59.9,7,Highly Recommended,95.0
Mushroom Mycelium,14.1,7.9,100.0,0.21,100.0,4,Highly Recommended,127.2
Aluminum Foil,29.0,4.8,0.0,8.84,97.8,10,Avoid,156.0
Bamboo Fiber,51.2,3.3,96.8,0.88,44.6,8,Highly Recommended,175.4
Edible Seaweed Film,11.3,9.1,100.0,0.57,0.6,3,Consider as Option,128.6
Bioplastic (PLA),65.4,5.6,94.2,2.34,53.7,8,Highly Recommended,226.8
Aluminum Foil,23.5,8.5,0.0,9.23,99.8,10,Avoid,182.0
Virgin Plastic (PP),81.5,4.9,4.7,4.91,12.1,10,Avoid,262.0
Bamboo Fiber,41.5,8.1,97.8,1.07,44.6,8,Highly Recommended,204.0
Mushroom Mycelium,18.6,0.6,100.0,0.11,100.0,4,Highly Recommended,63.2
Virgin Plastic (PP),78.2,8.4,2.5,3.81,24.2,10,Avoid,290.4
Recycled Cardboard,24.2,5.3,95.3,1.09,82.9,5,Highly Recommended,126.4
Edible Seaweed Film,5.9,7.1,100.0,0.42,9.7,3,Consider as Option,97.8
Bagasse (Sugarcane),31.4,6.2,99.1,0.93,62.8,7,Highly Recommended,159.8
Bagasse (Sugarcane),24.9,6.0,97.9,1.39,56.4,7,Highly Recommended,144.8
Bamboo Fiber,57.3,4.5,96.5,0.73,48.2,7,Highly Recommended,194.6
Aluminum Foil,30.5,5.7,0.0,10.62,94.0,10,Avoid,168.0
Bagasse (Sugarcane),27.3,8.3,99.7,1.35,64.5,5,Highly Recommended,162.6
Mushroom Mycelium,17.3,4.5,100.0,0.27,100.0,4,Highly Recommended,99.6
Bioplastic (PLA),56.6,9.2,84.4,2.32,42.1,8,Consider as Option,245.2
Recycled Cardboard,32.4,6.0,92.7,0.85,85.5,4,Highly Recommended,144.8
Recycled Cardboard,24.0,3.8,97.1,1.29,93.1,4,Highly Recommended,106.0
Edible Seaweed Film,5.3,3.2,100.0,0.47,6.4,3,Consider as Option,57.6
Edible Seaweed Film,14.6,2.4,100.0,0.38,9.4,2,Consider as Option,63.2
Bioplastic (PLA),57.8,4.7,94.2,2.4,55.1,8,Highly Recommended,202.6
Bamboo Fiber,49.4,1.5,98.6,0.74,41.5,8,Highly Recommended,153.8
Mushroom Mycelium,15.9,7.1,100.0,0.31,100.0,6,Highly Recommended,132.8
Aluminum Foil,26.8,8.7,0.0,9.48,97.8,10,Avoid,190.6
Bioplastic (PLA),53.7,1.3,87.5,2.36,46.8,8,Consider as Option,160.4
Aluminum Foil,26.5,3.1,0.0,9.0,93.4,10,Avoid,134.0
Edible Seaweed Film,12.4,4.2,100.0,0.33,3.5,2,Consider as Option,76.8
Aluminum Foil,20.6,6.0,0.0,10.42,98.5,10,Avoid,151.2
Bioplastic (PLA),59.6,4.8,94.0,1.6,40.2,8,Highly Recommended,207.2
Bioplastic (PLA),52.0,1.7,93.0,1.84,40.3,8,Highly Recommended,161.0
Bagasse (Sugarcane),37.6,7.9,96.8,1.27,64.8,6,Highly Recommended,184.2
Edible Seaweed Film,10.1,8.0,100.0,0.55,8.8,4,Consider as Option,120.2
Bamboo Fiber,52.8,5.6,95.8,0.71,33.1,8,Highly Recommended,201.6
Recycled Cardboard,17.0,7.4,96.7,1.1,99.8,4,Highly Recommended,128.0
Edible Seaweed Film,5.6,8.8,100.0,0.21,2.6,3,Consider as Option,114.2
Bioplastic (PLA),54.6,1.3,84.7,2.38,45.4,8,Consider as Option,162.2
Edible Seaweed Film,8.4,9.3,100.0,0.28,9.2,3,Consider as Option,124.8
Mushroom Mycelium,22.2,9.3,100.0,0.15,100.0,6,Highly Recommended,167.4
Bagasse (Sugarcane),25.1,7.9,98.4,1.4,66.8,6,Highly Recommended,159.2
Bagasse (Sugarcane),33.4,7.2,95.2,1.02,58.1,5,Highly Recommended,163.8
Mushroom Mycelium,17.1,6.0,100.0,0.22,100.0,4,Highly Recommended,114.2
Recycled Cardboard,34.2,3.8,98.0,1.4,81.3,4,Highly Recommended,126.4
Recycled Cardboard,18.4,1.0,92.4,1.33,98.3,3,Highly Recommended,61.8
Virgin Plastic (PP),83.8,7.5,0.5,5.39,14.0,10,Avoid,292.6
Mushroom Mycelium,10.6,7.7,100.0,0.34,100.0,6,Highly Recommended,128.2
Recycled Cardboard,28.5,4.2,91.8,1.34,90.2,3,Highly Recommended,114.0
Edible Seaweed Film,11.6,7.2,100.0,0.38,5.0,2,Consider as Option,105.2
Bioplastic (PLA),56.3,5.7,91.4,2.08,53.8,8,Highly Recommended,209.6
Bagasse (Sugarcane),23.6,2.7,98.9,1.24,58.4,7,Highly Recommended,109.2
Bamboo Fiber,56.6,6.1,98.7,0.66,46.0,8,Highly Recommended,214.2
Bioplastic (PLA),63.1,9.7,89.5,1.73,52.4,8,Highly Recommended,263.2
Bamboo Fiber,44.1,0.7,97.7,1.09,46.6,8,Highly Recommended,135.2
Bamboo Fiber,51.7,4.8,96.3,0.64,47.9,8,Highly Recommended,191.4
Edible Seaweed Film,9.5,2.5,100.0,0.39,6.2,4,Consider as Option,64.0
Edible Seaweed Film,6.4,8.2,100.0,0.23,6.3,4,Consider as Option,114.8
Aluminum Foil,30.5,5.7,0.0,11.48,91.2,10,Avoid,168.0
Edible Seaweed Film,8.0,7.6,100.0,0.37,1.1,3,Consider as Option,107.0
Virgin Plastic (PP),76.5,1.1,2.0,4.16,16.8,10,Avoid,214.0
Aluminum Foil,27.0,4.8,0.0,11.24,99.0,10,Avoid,152.0
Bioplastic (PLA),64.4,8.2,81.6,1.95,55.9,8,Highly Recommended,250.8
Bagasse (Sugarcane),24.7,9.4,95.8,1.0,58.1,5,Highly Recommended,168.4
Bagasse (Sugarcane),23.1,3.6,97.6,1.18,50.0,6,Highly Recommended,112.2
Bioplastic (PLA),57.1,8.0,83.8,1.58,45.9,8,Highly Recommended,234.2
Bamboo Fiber,51.4,7.2,97.7,0.79,49.6,7,Highly Recommended,209.8
Mushroom Mycelium,18.1,4.2,100.0,0.28,100.0,6,Highly Recommended,108.2
Virgin Plastic (PP),65.3,5.8,4.4,5.59,11.3,10,Avoid,238.6
Bioplastic (PLA),64.1,1.1,91.8,1.72,58.6,8,Highly Recommended,179.2
Edible Seaweed Film,11.0,6.3,100.0,0.49,9.3,2,Consider as Option,95.0
Bamboo Fiber,41.6,4.5,95.6,0.71,49.5,7,Highly Recommended,163.2
Bioplastic (PLA),73.2,5.6,90.8,2.11,56.5,8,Highly Recommended,242.4
Virgin Plastic (PP),71.9,7.4,4.4,4.16,10.7,10,Avoid,267.8
Bioplastic (PLA),66.1,1.2,87.7,1.68,50.2,8,Highly Recommended,184.2
Edible Seaweed Film,5.3,10.0,100.0,0.33,6.0,4,Consider as Option,130.6
Recycled Cardboard,33.1,7.5,99.6,1.0,82.4,4,Highly Recommended,161.2
Bagasse (Sugarcane),29.7,4.1,99.2,1.34,62.1,6,Highly Recommended,130.4
Edible Seaweed Film,14.9,3.1,100.0,0.47,5.2,2,Consider as Option,70.8
Recycled Cardboard,31.2,2.1,95.1,0.94,80.5,5,Highly Recommended,108.4
Virgin Plastic (PP),73.8,1.3,2.1,4.57,13.7,10,Avoid,210.6
Bagasse (Sugarcane),34.8,7.4,98.8,1.25,56.3,6,Highly Recommended,173.6
Bioplastic (PLA),58.5,6.2,88.9,1.61,47.4,9,Highly Recommended,224.0
Mushroom Mycelium,18.8,4.7,100.0,0.34,100.0,6,Highly Recommended,114.6
Aluminum Foil,33.3,3.5,0.0,8.63,93.0,10,Avoid,151.6
Virgin Plastic (PP),87.0,5.8,4.2,5.28,10.5,10,Avoid,282.0
Mushroom Mycelium,21.9,4.4,100.0,0.16,100.0,5,Highly Recommended,112.8
Virgin Plastic (PP),60.4,5.9,2.4,5.79,11.0,10,Avoid,229.8
Aluminum Foil,20.5,1.5,0.0,9.48,99.0,10,Avoid,106.0
Aluminum Foil,34.7,8.9,0.0,9.95,95.4,10,Avoid,208.4
Virgin Plastic (PP),72.2,8.8,1.9,5.33,21.5,10,Avoid,282.4
Virgin Plastic (PP),64.2,4.3,4.2,3.81,23.8,10,Avoid,221.4
Bamboo Fiber,48.8,9.3,99.2,0.5,36.4,6,Highly Recommended,220.6
Aluminum Foil,40.0,8.7,0.0,8.26,92.8,10,Avoid,217.0
Virgin Plastic (PP),86.0,4.8,0.8,3.6,10.2,10,Avoid,270.0
Recycled Cardboard,29.1,6.2,97.0,1.1,94.9,3,Highly Recommended,135.2
Bioplastic (PLA),50.6,4.9,84.8,1.93,46.6,8,Consider as Option,190.2
Edible Seaweed Film,5.6,2.1,100.0,0.22,1.9,2,Consider as Option,42.2
Bamboo Fiber,46.1,3.9,95.5,0.7,43.1,8,Highly Recommended,171.2
Bamboo Fiber,42.2,7.7,95.7,1.07,31.0,6,Highly Recommended,191.4
Aluminum Foil,44.9,9.9,0.0,10.57,98.3,10,Avoid,238.8
Bagasse (Sugarcane),23.9,5.9,95.4,1.19,68.9,7,Highly Recommended,141.8
Edible Seaweed Film,8.1,8.2,100.0,0.6,0.3,2,Consider as Option,108.2
Bagasse (Sugarcane),35.3,9.3,95.9,0.91,62.4,7,Highly Recommended,198.6
Bioplastic (PLA),74.9,3.9,92.1,2.03,45.0,8,Highly Recommended,228.8
Bagasse (Sugarcane),31.6,2.9,97.4,1.21,50.3,5,Highly Recommended,117.2
Aluminum Foil,36.9,1.0,0.0,9.48,98.5,10,Avoid,133.8
Mushroom Mycelium,23.6,2.8,100.0,0.2,100.0,6,Highly Recommended,105.2
Mushroom Mycelium,14.4,4.5,100.0,0.16,100.0,5,Highly Recommended,98.8
Bagasse (Sugarcane),23.6,4.5,98.0,0.91,60.3,6,Highly Recommended,122.2
Bioplastic (PLA),69.4,5.4,84.1,2.24,49.3,9,Highly Recommended,237.8
Bioplastic (PLA),51.2,9.6,86.6,1.78,42.5,8,Highly Recommended,238.4
Aluminum Foil,44.7,7.2,0.0,10.93,97.6,10,Avoid,211.4
Aluminum Foil,37.4,2.8,0.0,9.66,94.4,10,Avoid,152.8
Bioplastic (PLA),63.8,5.4,90.2,1.71,44.6,8,Highly Recommended,221.6
Bagasse (Sugarcane),21.6,1.4,99.6,0.91,54.4,6,Highly Recommended,87.2
Edible Seaweed Film,12.3,9.8,100.0,0.24,2.9,2,Consider as Option,132.6
Aluminum Foil,26.4,3.8,0.0,8.53,90.3,10,Avoid,140.8
