Material Type,Strength_Mpa,Weight_Capacity_Kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_percent,Cost_per_kg,Moisture_Resistance_percent,Temperature Tolerance (°C),Compostable (Yes/No),Shelf Life Impact Score (1-10),Typical Food Use Case
Natural Polymer,102.94,8.73,26.4,3.808,93.9,2.33,35.7,80.9,No,7,Beverage Bottles
Synthetic Polymer,108.07,7.61,47.5,5.231,58.2,2.91,79.9,33.6,No,3,Cushion Packaging
Natural Polymer,18.09,9.21,38.2,4.031,57.6,1.7,55.1,68.0,No,9,Crates
Plant-based Polymer,18.61,7.28,1.4,7.325,68.3,2.1,67.8,109.4,No,5,Bowls
Natural Polymer,98.25,5.23,66.3,0.921,0.3,3.42,25.4,-6.3,Yes,1,Cutlery
Plant-based Polymer,53.39,4.68,9.3,7.879,50.9,2.45,80.3,42.7,No,3,Plates
Paper-based,37.32,5.23,35.6,6.913,78.0,1.18,29.7,103.6,No,4,Bakery Packaging
Biodegradable Polymer,82.5,4.06,0.0,13.517,54.1,4.83,91.8,21.4,No,2,Bakery Packaging
Synthetic Polymer,114.12,7.45,45.4,5.287,80.9,0.51,61.9,30.0,No,4,Crates
Natural Polymer,61.42,8.19,64.4,3.148,64.0,3.22,68.7,61.8,Yes,1,Produce Wraps
Synthetic Polymer,66.59,0.1,64.2,5.057,70.5,3.31,74.6,39.0,Yes,5,Crates
Paper-based,122.52,0.58,52.5,3.756,37.4,2.38,84.0,94.8,Yes,2,Cutlery
Natural Polymer,42.18,0.1,41.5,8.159,71.4,0.04,79.2,130.4,No,8,Plates
Wood-based,43.14,7.91,83.4,7.321,80.5,2.41,76.3,27.3,Yes,6,Plates
Wood-based,27.64,7.42,58.6,7.173,36.9,2.63,71.6,53.1,Yes,8,Containers
Bio-Composite,68.24,10.7,31.4,3.382,76.2,1.61,51.8,59.3,No,8,Cutlery
Synthetic Polymer,21.3,0.1,43.4,8.97,26.3,2.29,76.9,-16.6,No,7,Beverage Bottles
Paper-based,81.44,1.73,58.7,0.321,74.5,3.51,76.4,40.3,Yes,4,Bakery Packaging
Synthetic Polymer,82.45,9.44,31.6,4.053,47.0,4.96,65.0,115.6,No,1,Wraps
Bio-Composite,120.02,6.2,32.0,5.62,48.3,3.24,44.9,68.5,No,5,Cutlery
Bio-Composite,137.95,6.87,100.0,6.255,23.8,0.01,81.1,31.9,Yes,9,Crates
Wood-based,42.07,5.96,90.2,7.34,70.1,4.84,80.2,58.3,Yes,4,Cushion Packaging
Natural Polymer,118.09,4.57,52.2,2.685,96.1,3.97,84.0,59.6,Yes,6,Containers
Synthetic Polymer,95.06,2.77,34.3,4.236,58.4,2.43,91.5,40.3,No,10,Produce Wraps
Wood-based,70.91,4.64,43.6,2.914,68.4,3.45,84.2,17.7,No,3,Food Trays
Biopolymer,31.77,5.9,78.4,4.137,82.7,3.71,36.1,33.3,Yes,5,Beverage Bottles
Synthetic Polymer,97.48,7.91,74.0,2.303,91.1,0.64,46.6,44.1,Yes,2,Wraps
Biopolymer,51.37,3.03,34.7,4.139,47.6,3.18,54.1,57.2,No,1,Cutlery
Natural Fiber,16.61,0.1,74.6,4.592,73.9,4.35,0.0,-2.3,Yes,7,Containers
Wood-based,113.35,9.35,29.8,5.9,50.5,2.28,47.9,51.1,No,3,Cutlery
Natural Polymer,108.2,4.1,34.7,1.874,80.0,2.32,53.5,15.8,No,7,Containers
Natural Fiber,40.32,7.99,83.2,3.974,33.9,1.75,50.8,67.1,Yes,10,Cushion Packaging
Wood-based,30.64,9.59,69.8,3.817,39.4,2.01,75.9,42.3,Yes,5,Food Trays
Synthetic Polymer,144.62,12.44,16.0,5.49,50.1,2.43,57.6,19.8,No,3,Food Trays
Synthetic Polymer,34.05,0.1,63.1,6.021,63.8,1.97,83.7,63.6,Yes,7,Produce Wraps
Synthetic Polymer,83.32,7.82,49.9,6.33,49.7,0.98,78.6,77.6,No,3,Produce Wraps
Bio-Composite,98.72,10.35,59.8,4.463,29.8,1.53,10.8,72.9,Yes,9,Beverage Bottles
Wood-based,128.02,1.45,42.9,7.12,42.1,4.43,44.0,58.7,No,5,Bowls
Paper-based,87.35,7.78,50.0,6.91,76.6,2.77,55.6,27.8,Yes,5,Cutlery
Paper-based,50.07,8.77,52.4,6.065,69.8,3.53,69.1,-12.2,Yes,6,Cereal Boxes
Bio-Composite,113.51,6.08,13.7,7.422,91.9,2.0,27.6,53.7,No,1,Dissolvable Pouches
Natural Polymer,59.02,5.51,55.1,4.283,66.4,3.27,21.3,21.3,Yes,3,Cushion Packaging
Wood-based,144.32,12.99,29.4,7.48,74.4,1.58,87.2,56.5,No,4,Cutlery
Bio-Composite,35.21,8.25,54.2,5.897,18.7,3.9,62.3,-0.9,Yes,5,Edible Wraps
Synthetic Polymer,138.41,7.36,22.6,4.198,79.3,1.78,51.6,67.6,No,6,Beverage Bottles
Synthetic Polymer,112.24,6.87,36.2,7.418,48.5,4.21,80.2,26.4,No,10,Cutlery
Paper-based,111.59,0.1,100.0,7.274,52.7,0.7,84.3,66.1,Yes,6,Produce Wraps
Inorganic,80.28,11.41,51.8,6.796,32.9,2.42,60.9,41.0,Yes,10,Produce Wraps
Inorganic,133.96,6.51,60.6,4.308,56.7,0.79,32.0,65.3,Yes,5,Plates
Plant-based Polymer,65.06,6.37,58.5,0.0,70.6,0.01,97.7,23.9,Yes,5,Cereal Boxes
Plant-based Polymer,132.31,5.4,43.9,7.467,73.9,2.17,54.4,52.8,No,5,Cutlery
Inorganic,103.8,5.03,8.0,8.357,54.7,2.0,91.4,-4.5,No,1,Plates
Metal,87.29,6.43,61.9,2.654,34.0,2.45,61.2,11.1,Yes,5,Plates
Bio-Composite,44.92,8.21,98.1,1.205,57.0,3.37,50.7,38.6,Yes,5,Edible Wraps
Wood-based,72.37,5.41,38.7,4.838,100.0,3.76,19.2,15.1,No,1,Wraps
Biopolymer,53.92,10.36,30.0,5.978,67.6,3.06,68.1,49.6,No,6,Plates
Biopolymer,44.74,11.87,60.2,4.989,39.8,0.9,55.8,91.5,Yes,5,Cutlery
Natural Fiber,109.2,4.89,30.4,2.246,23.6,2.75,100.0,33.2,No,2,Beverage Bottles
Plant-based Polymer,114.6,3.11,34.6,8.824,75.6,2.22,49.4,91.7,No,6,Produce Wraps
Wood-based,147.66,6.64,54.5,4.116,81.4,3.27,43.0,80.5,Yes,6,Cutlery
Natural Fiber,51.4,0.1,11.4,7.924,80.6,1.15,42.1,77.7,No,8,Edible Wraps
Wood-based,128.88,5.18,75.6,4.496,64.5,1.33,27.8,165.4,Yes,6,Edible Wraps
Metal,27.56,7.59,54.6,5.978,29.3,1.46,100.0,46.4,Yes,4,Takeaway Boxes
Biopolymer,99.07,7.03,83.8,1.998,44.8,2.18,39.6,74.6,Yes,8,Dissolvable Pouches
Inorganic,154.84,2.09,3.1,10.726,21.1,2.67,65.9,2.6,No,4,Cushion Packaging
Bio-Composite,48.43,4.08,77.4,5.91,75.8,3.99,75.4,83.8,Yes,4,Crates
Plant-based Polymer,83.06,10.24,54.8,6.068,40.8,1.18,73.6,-20.0,Yes,3,Beverage Bottles
Biopolymer,151.57,4.62,22.9,2.82,57.4,4.82,33.9,122.5,No,5,Containers
Bio-Composite,104.88,4.68,85.7,3.435,25.9,0.99,53.3,11.6,Yes,5,Crates
Bio-Composite,99.32,7.92,72.5,4.424,100.0,1.12,55.4,40.5,Yes,4,Cutlery
Biopolymer,65.49,7.22,45.5,5.159,34.0,1.24,48.7,52.1,No,4,Food Trays
Metal,47.15,6.21,14.5,5.063,30.0,1.98,17.2,0.9,No,1,Cushion Packaging
Biodegradable Polymer,81.11,7.78,54.4,2.502,44.5,4.5,76.2,53.0,Yes,5,Food Trays
Plant-based Polymer,157.28,7.32,53.9,5.348,41.5,2.8,73.4,-20.0,Yes,4,Food Trays
Plant-based Polymer,116.07,3.94,32.0,8.391,39.4,3.23,16.0,37.4,No,7,Cutlery
Natural Fiber,106.69,1.56,54.6,10.194,82.7,4.67,65.9,39.6,Yes,7,Bowls
Paper-based,114.26,5.59,25.9,4.201,100.0,1.94,33.0,-9.8,No,5,Plates
Wood-based,164.1,8.02,61.1,6.219,95.2,2.2,66.4,41.8,Yes,4,Cutlery
Metal,12.65,0.84,41.9,5.22,48.8,2.35,71.6,89.4,No,6,Crates
Metal,176.48,8.41,65.6,0.0,29.0,3.46,52.0,25.5,Yes,2,Cushion Packaging
Synthetic Polymer,89.73,7.91,16.0,10.949,20.4,0.4,63.4,42.0,No,4,Plates
Plant-based Polymer,1.0,5.45,95.0,2.117,79.0,2.15,44.9,20.0,Yes,7,Cushion Packaging
Biopolymer,46.02,1.26,56.3,1.252,58.7,3.68,67.6,50.1,Yes,4,Bowls
Wood-based,105.01,8.78,38.7,0.35,76.9,0.8,87.3,50.0,No,8,Cushion Packaging
Metal,64.32,8.69,77.6,8.017,51.6,2.11,57.8,107.1,Yes,5,Dissolvable Pouches
Metal,117.92,3.85,40.5,7.815,33.4,1.75,67.5,53.1,No,6,Bowls
Natural Polymer,81.05,11.97,83.4,4.729,54.6,6.16,60.9,73.4,Yes,1,Wraps
Plant-based Polymer,75.88,6.09,89.7,1.885,41.3,2.74,33.8,84.4,Yes,6,Cereal Boxes
Bio-Composite,124.4,8.96,93.4,1.884,26.9,2.86,21.2,71.8,Yes,3,Dissolvable Pouches
Biopolymer,152.72,8.31,72.0,5.072,62.4,1.3,67.5,91.3,Yes,3,Beverage Bottles
Bio-Composite,13.79,8.91,5.9,0.975,80.6,2.77,62.8,70.0,No,1,Beverage Bottles
Metal,82.68,6.06,14.1,2.319,62.7,2.28,85.9,28.5,No,5,Beverage Bottles
Metal,129.97,7.15,30.7,5.1,57.1,3.86,69.6,112.6,No,7,Wraps
Wood-based,68.19,5.67,12.6,3.979,56.2,2.39,52.1,37.0,No,6,Bakery Packaging
Metal,56.53,7.26,8.5,0.0,72.9,3.16,64.3,108.0,No,8,Produce Wraps
Biodegradable Polymer,75.88,6.39,77.7,6.004,80.3,4.19,29.1,-20.0,Yes,10,Bakery Packaging
Natural Fiber,65.2,0.1,78.0,7.152,45.7,3.16,62.0,35.0,Yes,6,Bakery Packaging
Inorganic,127.37,6.47,96.2,9.686,22.5,0.35,30.1,65.7,Yes,9,Cutlery
Inorganic,88.44,15.79,67.2,7.492,53.1,2.08,38.3,82.3,Yes,4,Produce Wraps
Natural Fiber,73.28,6.46,19.3,2.997,76.0,3.89,57.3,47.9,No,8,Plates
Metal,93.61,0.68,100.0,8.397,57.4,3.59,100.0,81.8,Yes,5,Plates
Natural Polymer,144.03,0.1,33.9,5.682,45.6,0.11,100.0,5.7,No,10,Wraps
Natural Polymer,99.63,10.06,100.0,3.944,90.3,0.22,40.3,17.4,Yes,7,Plates
Metal,106.55,8.11,42.3,6.297,38.4,1.54,49.8,78.6,No,2,Edible Wraps
Paper-based,93.0,4.29,88.0,3.123,27.9,0.11,36.8,95.2,Yes,1,Plates
Bio-Composite,86.0,0.1,57.0,3.775,93.3,6.71,91.6,105.2,Yes,8,Cushion Packaging
Natural Fiber,86.65,10.65,65.3,3.374,95.7,5.13,28.0,79.7,Yes,2,Bowls
Inorganic,148.24,4.6,15.2,7.074,31.3,3.0,97.9,70.1,No,8,Beverage Bottles
Synthetic Polymer,59.39,1.47,96.9,6.613,24.5,2.05,53.6,97.2,Yes,1,Food Trays
Biopolymer,91.47,8.41,0.0,0.0,67.3,2.6,100.0,28.1,No,9,Produce Wraps
Metal,154.11,4.47,64.2,0.0,50.0,3.25,50.7,-11.0,Yes,6,Food Trays
Plant-based Polymer,90.49,1.8,49.7,5.3,57.1,4.32,38.2,58.2,No,2,Edible Wraps
Synthetic Polymer,167.59,9.0,90.4,1.264,47.1,1.59,100.0,33.7,Yes,5,Cutlery
Plant-based Polymer,167.75,2.64,41.3,4.994,55.4,2.43,93.2,62.2,No,7,Dissolvable Pouches
Biodegradable Polymer,150.82,4.05,31.4,10.535,95.5,3.21,47.1,-20.0,No,5,Dissolvable Pouches
Synthetic Polymer,125.47,12.41,74.9,3.412,24.3,3.3,27.2,5.2,Yes,5,Food Trays
Biodegradable Polymer,10.7,6.83,30.3,2.555,58.5,1.04,62.9,6.0,No,8,Plates
Plant-based Polymer,1.0,0.26,20.9,7.572,48.7,0.98,66.1,62.3,No,2,Cutlery
Plant-based Polymer,31.7,4.14,91.6,6.599,53.3,3.47,53.5,96.4,Yes,2,Produce Wraps
Natural Fiber,104.69,5.85,80.7,3.767,53.7,2.63,63.2,80.1,Yes,6,Cutlery
Biodegradable Polymer,92.6,10.09,97.1,1.49,74.5,2.4,51.1,23.8,Yes,8,Wraps
Natural Fiber,61.55,3.67,36.3,0.0,81.3,4.0,84.8,-20.0,No,5,Food Trays
Wood-based,95.42,2.22,53.8,10.931,72.7,3.48,51.3,-20.0,Yes,6,Beverage Bottles
Paper-based,6.41,5.48,37.0,3.438,79.0,2.03,73.3,-20.0,No,4,Dissolvable Pouches
Natural Polymer,79.83,8.0,78.6,2.755,86.9,3.32,46.2,37.1,Yes,3,Food Trays
Plant-based Polymer,114.53,15.4,60.6,6.181,50.4,6.67,79.5,32.7,Yes,2,Cereal Boxes
Metal,178.53,6.06,26.5,3.976,83.7,1.93,54.3,42.1,No,5,Produce Wraps
Paper-based,52.44,8.91,20.0,7.059,57.6,2.93,55.6,41.6,No,6,Edible Wraps
Paper-based,117.7,5.61,97.3,8.683,100.0,3.1,100.0,44.6,Yes,9,Cereal Boxes
Biopolymer,175.28,4.84,65.5,4.9,54.7,1.67,74.3,82.3,Yes,5,Bowls
Plant-based Polymer,71.65,2.33,24.3,3.216,36.9,1.21,79.4,36.5,No,6,Containers
Biopolymer,72.86,5.55,64.4,4.105,79.0,2.99,64.4,45.0,Yes,5,Containers
Wood-based,89.36,2.93,50.5,3.367,54.5,2.48,100.0,-4.4,Yes,4,Bakery Packaging
Biopolymer,33.99,13.11,84.8,7.112,51.7,1.13,73.1,23.9,Yes,3,Dissolvable Pouches
Inorganic,59.94,6.31,100.0,8.64,71.1,2.33,56.7,48.6,Yes,3,Containers
Paper-based,161.21,1.91,8.9,2.751,31.7,0.96,48.4,64.9,No,3,Crates
Natural Fiber,98.25,11.19,20.1,3.547,20.7,5.05,77.0,67.1,No,7,Bowls
Biopolymer,176.09,4.02,52.0,4.526,94.4,2.0,74.9,116.6,Yes,6,Wraps
Wood-based,66.74,9.05,94.0,8.938,36.0,0.89,53.0,42.8,Yes,6,Cereal Boxes
Biodegradable Polymer,99.88,1.97,70.6,5.693,82.3,3.91,48.0,44.2,Yes,9,Bakery Packaging
Wood-based,87.64,5.08,61.3,4.35,50.6,3.33,94.7,48.7,Yes,1,Bakery Packaging
Metal,118.64,7.98,32.4,2.091,71.5,1.78,80.8,47.9,No,7,Bowls
Plant-based Polymer,74.49,3.43,43.0,7.521,12.9,1.59,65.0,66.5,No,6,Food Trays
Plant-based Polymer,23.75,3.61,34.7,2.94,93.4,5.19,46.9,65.4,No,5,Crates
Biodegradable Polymer,87.14,0.1,48.6,0.235,69.5,4.07,55.1,-16.4,No,4,Bakery Packaging
Plant-based Polymer,66.52,7.35,36.6,5.795,75.6,4.56,88.4,109.7,No,5,Bakery Packaging
Natural Fiber,9.23,6.8,35.9,5.92,89.1,2.85,59.6,35.0,No,7,Edible Wraps
Natural Polymer,133.31,9.86,58.5,7.594,54.3,4.16,83.4,78.4,Yes,4,Edible Wraps
Inorganic,85.1,7.65,43.7,4.699,82.0,3.19,90.5,121.4,No,8,Food Trays
Biopolymer,98.4,5.2,62.7,8.336,97.0,3.62,69.1,58.3,Yes,8,Cutlery
Plant-based Polymer,132.56,0.1,52.7,11.456,70.2,4.76,74.3,66.9,Yes,8,Bowls
Inorganic,83.79,7.76,52.4,5.377,56.2,0.74,74.4,80.2,Yes,4,Edible Wraps
Metal,59.35,9.05,47.8,6.355,75.6,1.49,99.5,50.3,No,3,Cushion Packaging
Natural Fiber,92.33,4.53,45.4,8.439,77.0,2.16,72.7,12.4,No,1,Bakery Packaging
Bio-Composite,50.14,7.72,73.1,7.229,82.7,2.96,0.0,24.3,Yes,6,Dissolvable Pouches
Metal,120.04,9.59,32.7,5.114,51.0,3.62,61.8,30.8,No,5,Wraps
Inorganic,17.26,10.35,53.9,10.04,71.9,4.45,62.3,92.6,Yes,9,Cushion Packaging
Bio-Composite,76.53,3.27,20.1,5.198,30.9,0.91,84.9,115.9,No,10,Beverage Bottles
Inorganic,89.62,5.49,23.0,5.619,88.5,2.96,77.7,25.3,No,5,Produce Wraps
Metal,102.6,7.42,32.0,0.635,37.3,5.47,68.2,-13.2,No,2,Crates
Bio-Composite,99.77,6.92,68.4,7.993,55.3,2.0,93.2,36.2,Yes,3,Containers
Biopolymer,63.46,6.87,100.0,9.065,43.0,0.01,51.2,3.7,Yes,8,Crates
Metal,107.8,2.4,45.6,3.102,74.0,3.96,26.3,72.5,No,9,Wraps
Plant-based Polymer,55.48,0.1,7.4,2.774,57.8,1.04,20.8,44.0,No,10,Takeaway Boxes
Biodegradable Polymer,61.92,0.1,100.0,3.654,82.1,0.79,85.6,-20.0,Yes,7,Wraps
Natural Fiber,29.25,2.56,72.8,3.058,60.4,3.17,54.2,3.5,Yes,4,Crates
Plant-based Polymer,98.32,12.12,50.7,4.317,58.5,3.81,55.9,82.5,Yes,4,Edible Wraps
Wood-based,150.96,10.03,7.1,0.95,84.9,4.93,60.1,29.1,No,5,Dissolvable Pouches
Paper-based,45.74,1.25,72.2,1.37,68.3,2.52,68.5,71.4,Yes,10,Bowls
Natural Fiber,52.63,10.74,39.5,4.467,100.0,2.79,100.0,-1.4,No,6,Cutlery
Biodegradable Polymer,88.57,6.12,60.5,8.842,46.2,1.25,70.6,82.1,Yes,6,Wraps
Biodegradable Polymer,76.34,0.1,1.5,11.098,68.3,2.6,82.8,-9.7,No,6,Beverage Bottles
Biopolymer,83.27,6.14,26.7,5.558,46.9,2.64,100.0,63.5,No,3,Bowls
Inorganic,149.3,11.56,32.6,6.645,69.4,1.37,98.3,50.6,No,2,Dissolvable Pouches
Biopolymer,43.47,2.37,24.6,5.506,49.0,3.41,56.6,24.9,No,1,Cushion Packaging
Biopolymer,50.0,7.6,45.9,9.858,34.3,2.96,31.6,65.2,No,6,Food Trays
Paper-based,53.63,6.4,16.8,6.385,78.4,2.9,72.3,35.6,No,4,Containers
Metal,125.17,7.0,45.1,6.729,42.6,4.55,66.3,110.3,No,2,Cushion Packaging
Biodegradable Polymer,140.22,8.37,27.3,3.439,30.9,2.92,31.1,74.6,No,5,Edible Wraps
Paper-based,117.95,0.1,57.7,2.64,28.1,1.84,59.2,109.8,Yes,5,Beverage Bottles
Plant-based Polymer,22.56,3.7,56.5,8.821,43.1,2.09,41.6,-6.5,Yes,9,Edible Wraps
Biodegradable Polymer,42.6,3.43,35.5,9.343,85.0,4.22,69.1,93.0,No,5,Plates
Bio-Composite,144.83,0.1,65.3,5.281,35.7,1.74,9.2,36.6,Yes,4,Cereal Boxes
Metal,65.06,10.31,21.0,8.969,22.9,3.33,100.0,36.1,No,9,Produce Wraps
Natural Polymer,77.99,9.74,77.2,4.62,71.8,4.14,40.1,96.0,Yes,1,Dissolvable Pouches
Inorganic,60.68,5.88,45.2,6.471,63.9,1.62,91.7,68.9,No,5,Edible Wraps
Inorganic,18.93,0.79,0.0,7.225,85.8,0.49,63.1,67.5,No,6,Wraps
Inorganic,42.01,4.22,71.2,7.32,54.5,2.51,47.9,31.2,Yes,7,Cereal Boxes
Inorganic,50.29,6.8,43.7,3.713,89.6,5.42,31.5,37.7,No,7,Dissolvable Pouches
Natural Fiber,104.77,6.27,40.0,3.606,74.9,4.19,71.7,63.5,No,4,Cutlery
Wood-based,97.53,7.42,35.6,8.631,91.5,5.62,38.0,-3.3,No,4,Food Trays
Natural Fiber,34.56,10.52,36.6,7.908,90.8,2.67,62.9,33.8,No,5,Wraps
Natural Polymer,98.15,0.1,73.0,4.534,67.9,3.47,91.8,20.7,Yes,1,Dissolvable Pouches
Wood-based,138.38,3.72,97.5,8.792,55.8,4.14,70.7,-20.0,Yes,4,Takeaway Boxes
Metal,48.82,13.09,63.6,3.769,52.3,1.44,59.5,27.1,Yes,2,Cushion Packaging
Natural Fiber,67.64,4.34,65.8,0.0,56.4,3.62,62.5,123.4,Yes,10,Cushion Packaging
Natural Polymer,108.19,11.07,63.7,2.405,50.8,3.03,68.1,-10.2,Yes,5,Produce Wraps
Natural Fiber,74.58,1.95,36.6,8.325,59.6,1.76,51.7,-20.0,No,7,Bowls
Biodegradable Polymer,108.2,9.21,58.7,3.478,53.3,5.99,39.6,74.4,Yes,8,Bakery Packaging
Bio-Composite,101.83,6.63,46.9,3.883,90.4,3.62,77.2,95.6,No,1,Wraps
Wood-based,57.79,6.18,38.7,7.499,43.3,1.75,24.1,33.6,No,8,Crates
Synthetic Polymer,20.3,9.02,54.0,5.379,96.1,1.48,64.8,28.0,Yes,2,Crates
Natural Polymer,46.26,1.74,23.6,7.621,59.7,3.02,55.3,-1.9,No,5,Produce Wraps
Biopolymer,148.39,3.43,92.5,4.587,95.9,2.38,44.6,61.5,Yes,2,Beverage Bottles
Biopolymer,101.33,2.83,93.6,2.253,100.0,2.53,73.4,35.1,Yes,2,Takeaway Boxes
Biodegradable Polymer,125.91,10.05,79.9,8.06,55.9,4.64,49.3,67.7,Yes,5,Cereal Boxes
Natural Polymer,42.73,9.71,49.8,6.836,53.9,3.29,77.8,48.1,No,7,Dissolvable Pouches
Wood-based,36.54,0.1,29.5,8.787,67.9,3.19,78.1,70.2,No,7,Cushion Packaging
Inorganic,66.16,5.58,79.0,1.475,55.3,1.28,100.0,55.7,Yes,4,Edible Wraps
Inorganic,77.37,13.71,0.0,4.37,75.2,4.49,23.9,26.4,No,4,Edible Wraps
Metal,60.54,10.18,30.9,5.129,35.0,3.43,49.3,42.3,No,3,Containers
Inorganic,157.15,10.94,58.8,7.296,82.3,0.93,57.7,34.7,Yes,6,Bowls
Biodegradable Polymer,51.48,3.23,29.3,8.127,77.3,2.08,90.8,-4.6,No,10,Containers
Synthetic Polymer,92.8,3.6,35.3,5.194,61.1,3.5,70.2,91.1,No,10,Takeaway Boxes
Biodegradable Polymer,55.89,7.24,44.0,1.198,66.6,1.12,95.4,35.7,No,1,Crates
Synthetic Polymer,93.34,4.86,94.3,5.15,56.7,2.36,57.4,81.0,Yes,8,Dissolvable Pouches
Synthetic Polymer,62.59,1.35,29.2,2.88,54.1,0.73,100.0,79.2,No,5,Cereal Boxes
Biodegradable Polymer,30.28,6.62,93.6,3.633,55.7,2.6,44.1,8.0,Yes,7,Cutlery
Synthetic Polymer,73.02,11.27,9.2,8.634,11.0,1.47,60.2,1.6,No,4,Bakery Packaging
Biopolymer,102.22,1.78,48.9,3.249,74.2,2.98,42.6,70.9,No,10,Cereal Boxes
Synthetic Polymer,93.73,4.51,57.6,2.15,100.0,3.82,45.9,45.4,Yes,4,Produce Wraps
Plant-based Polymer,90.43,6.17,17.5,1.225,81.8,1.8,59.3,42.2,No,2,Produce Wraps
Natural Polymer,62.12,8.01,6.3,3.366,97.3,5.57,73.6,39.1,No,10,Cushion Packaging
Natural Polymer,143.9,5.46,37.7,9.586,79.9,1.46,100.0,2.4,No,3,Cutlery
Metal,108.11,5.34,27.3,1.548,58.0,1.36,47.2,84.2,No,7,Containers
Synthetic Polymer,139.04,5.41,100.0,2.323,59.7,0.53,61.2,12.4,Yes,1,Food Trays
Wood-based,54.34,5.58,0.0,2.369,62.8,1.08,59.5,-20.0,No,9,Food Trays
Paper-based,72.14,0.1,100.0,2.106,24.8,1.68,1.8,10.0,Yes,1,Cushion Packaging
Plant-based Polymer,105.3,16.99,79.5,5.565,75.9,1.32,81.9,116.6,Yes,6,Takeaway Boxes
Natural Fiber,83.47,6.21,35.6,5.718,35.8,4.69,57.4,123.8,No,1,Bakery Packaging
Bio-Composite,113.36,3.36,40.0,5.558,81.1,3.67,30.5,43.1,No,5,Wraps
Metal,74.69,6.35,65.7,6.5,61.4,5.78,88.2,57.5,Yes,7,Food Trays
Bio-Composite,101.84,4.43,100.0,4.283,37.7,3.5,58.4,23.0,Yes,1,Containers
Biodegradable Polymer,111.41,4.95,87.5,5.94,54.2,3.13,33.7,79.1,Yes,7,Wraps
Synthetic Polymer,39.58,0.1,11.2,2.457,44.4,2.11,87.4,45.7,No,5,Takeaway Boxes
Wood-based,108.89,10.89,8.2,5.022,52.8,1.36,55.7,-7.7,No,10,Dissolvable Pouches
Bio-Composite,24.08,2.08,0.0,5.397,68.6,3.86,55.3,-20.0,No,2,Cushion Packaging
Synthetic Polymer,64.34,10.21,53.4,7.346,24.2,1.42,76.4,38.1,Yes,2,Food Trays
Metal,157.69,2.38,52.4,1.048,51.5,3.09,11.2,52.0,Yes,10,Produce Wraps
Natural Fiber,80.73,3.83,63.4,2.571,100.0,1.68,96.3,-20.0,Yes,8,Crates
Metal,180.91,8.74,100.0,7.156,66.3,3.55,100.0,29.9,Yes,1,Edible Wraps
Biopolymer,78.93,2.44,3.2,1.713,62.4,3.07,43.2,59.1,No,4,Beverage Bottles
Wood-based,44.81,0.1,39.3,6.324,20.7,2.75,60.6,57.9,No,9,Cutlery
Synthetic Polymer,133.34,3.58,100.0,6.822,65.8,1.23,46.3,75.7,Yes,8,Cereal Boxes
Paper-based,126.72,4.72,53.1,5.668,68.4,2.6,54.7,69.2,Yes,6,Bakery Packaging
Natural Fiber,44.97,8.64,45.8,6.38,30.0,0.57,74.9,-20.0,No,4,Dissolvable Pouches
Synthetic Polymer,86.22,8.74,20.0,6.796,85.5,3.07,50.2,49.1,No,6,Bakery Packaging
Biodegradable Polymer,59.2,8.6,61.9,7.024,58.8,3.79,100.0,85.1,Yes,1,Dissolvable Pouches
Natural Fiber,111.32,4.95,71.6,8.3,61.8,1.13,30.0,115.2,Yes,4,Food Trays
Biopolymer,172.5,5.95,59.2,0.0,35.8,2.86,43.6,4.2,Yes,1,Edible Wraps
Synthetic Polymer,51.56,12.17,50.4,4.216,86.7,2.63,34.3,-17.1,Yes,7,Bowls
Biopolymer,117.27,2.37,72.2,3.283,74.6,1.06,100.0,61.6,Yes,10,Beverage Bottles
Paper-based,76.28,8.27,100.0,4.427,76.8,2.95,31.4,90.4,Yes,6,Cushion Packaging
Bio-Composite,75.73,7.06,48.0,3.454,58.6,2.38,25.6,100.8,No,4,Crates
Natural Polymer,135.97,0.1,72.2,6.802,18.9,2.74,31.5,52.2,Yes,8,Takeaway Boxes
Paper-based,51.02,7.49,95.0,2.154,35.6,5.82,30.3,103.0,Yes,8,Wraps
Paper-based,63.1,7.68,66.2,5.09,92.4,3.8,100.0,66.7,Yes,7,Containers
Biodegradable Polymer,84.79,4.55,66.4,6.221,48.4,1.12,100.0,100.9,Yes,5,Takeaway Boxes
Inorganic,128.88,9.09,43.1,3.838,57.2,2.89,46.4,174.7,No,5,Plates
Natural Fiber,51.94,3.75,68.6,3.82,73.0,0.5,100.0,51.8,Yes,5,Produce Wraps
Metal,102.86,9.6,0.0,10.507,16.4,2.22,79.6,28.5,No,5,Containers
Metal,116.7,8.65,81.6,9.32,34.9,5.08,83.9,25.7,Yes,3,Containers
Bio-Composite,76.76,6.79,77.0,3.04,74.1,4.5,72.3,34.2,Yes,8,Dissolvable Pouches
Metal,92.78,8.68,91.6,7.304,75.3,1.59,60.5,73.1,Yes,10,Edible Wraps
Metal,81.61,6.5,20.9,3.562,68.3,3.96,68.4,39.2,No,5,Bakery Packaging
Natural Fiber,110.91,3.45,79.2,1.706,85.0,3.47,67.5,-20.0,Yes,2,Containers
Biodegradable Polymer,71.11,2.68,100.0,0.0,48.7,1.86,30.7,48.5,Yes,5,Beverage Bottles
