Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Edible Seaweed Film,12.2,7.2,100.0,0.41,1.7,3,Consider as Option
Mushroom Mycelium,18.4,5.1,100.0,0.17,100.0,6,Highly Recommended
Bioplastic (PLA),61.5,7.1,82.0,2.31,51.5,9,Consider as Option
Virgin Plastic (PP),86.0,5.8,5.0,5.79,22.6,10,Avoid
Bamboo Fiber,49.2,9.0,96.2,0.89,42.2,6,Highly Recommended
Edible Seaweed Film,9.5,8.9,100.0,0.5,7.0,2,Consider as Option
Edible Seaweed Film,10.3,8.7,100.0,0.3,0.7,2,Consider as Option
Virgin Plastic (PP),73.8,2.3,4.2,3.57,29.4,10,Avoid
Recycled Cardboard,26.6,9.6,97.0,1.2,92.4,5,Highly Recommended
Bagasse (Sugarcane),36.9,7.0,96.6,1.08,56.6,7,Highly Recommended
Bioplastic (PLA),51.0,0.9,91.4,1.62,54.4,8,Highly Recommended
Edible Seaweed Film,7.8,7.0,100.0,0.27,6.0,2,Consider as Option
Bioplastic (PLA),55.0,9.0,90.9,1.94,51.9,8,Highly Recommended
Bamboo Fiber,54.6,3.4,95.2,0.63,33.6,6,Highly Recommended
Mushroom Mycelium,15.4,3.9,100.0,0.1,100.0,6,Highly Recommended
Aluminum Foil,22.6,1.0,0.0,9.44,96.4,10,Avoid
Recycled Cardboard,17.9,8.6,96.1,0.88,99.3,4,Highly Recommended
Bagasse (Sugarcane),35.9,6.2,98.9,1.2,52.5,7,Highly Recommended
Virgin Plastic (PP),73.0,6.5,4.1,5.42,10.5,10,Avoid
Bagasse (Sugarcane),33.2,2.2,98.6,1.26,62.8,6,Highly Recommended
Bioplastic (PLA),53.2,9.5,92.0,2.13,54.8,8,Highly Recommended
Mushroom Mycelium,21.3,2.5,100.0,0.28,100.0,4,Highly Recommended
Edible Seaweed Film,10.8,6.8,100.0,0.2,9.2,4,Consider as Option
Recycled Cardboard,26.5,1.8,96.7,1.38,84.4,3,Highly Recommended
Bioplastic (PLA),68.8,3.7,92.6,2.12,54.4,8,Highly Recommended
Bamboo Fiber,40.4,0.7,95.6,0.59,44.3,6,Highly Recommended
Virgin Plastic (PP),79.0,6.8,1.4,5.55,18.5,10,Avoid
Edible Seaweed Film,5.3,3.2,100.0,0.47,6.4,3,Consider as Option
Edible Seaweed Film,8.6,7.7,100.0,0.31,2.6,3,Consider as Option
Mushroom Mycelium,21.7,9.9,100.0,0.39,100.0,5,Highly Recommended
Recycled Cardboard,28.5,4.2,91.8,1.34,90.2,3,Highly Recommended
Virgin Plastic (PP),63.1,3.1,2.8,4.59,15.5,10,Avoid
Bamboo Fiber,57.2,6.8,95.3,0.5,48.3,7,Highly Recommended
Recycled Cardboard,20.8,4.3,96.7,0.94,97.6,5,Highly Recommended
Aluminum Foil,28.9,3.0,0.0,11.03,95.8,10,Avoid
Bagasse (Sugarcane),20.6,0.5,97.4,1.21,51.9,6,Highly Recommended
Bagasse (Sugarcane),20.4,7.7,95.6,1.34,60.0,5,Highly Recommended
Aluminum Foil,25.5,3.8,0.0,10.24,98.0,10,Avoid
Recycled Cardboard,32.8,9.1,90.5,1.44,86.3,4,Highly Recommended
Aluminum Foil,34.6,1.1,0.0,9.92,93.5,10,Avoid
Bioplastic (PLA),60.4,4.8,86.0,2.46,54.7,9,Highly Recommended
Edible Seaweed Film,5.7,5.1,100.0,0.37,7.8,2,Consider as Option
Edible Seaweed Film,5.4,2.9,100.0,0.45,0.0,4,Consider as Option
Bagasse (Sugarcane),38.8,4.2,98.0,1.14,64.6,7,Highly Recommended
Aluminum Foil,30.5,5.7,0.0,10.62,94.0,10,Avoid
Bagasse (Sugarcane),28.6,9.3,98.5,1.26,63.4,7,Highly Recommended
Bagasse (Sugarcane),22.3,4.1,97.4,1.27,50.0,6,Highly Recommended
Recycled Cardboard,31.6,0.8,91.4,1.39,80.9,4,Highly Recommended
Bagasse (Sugarcane),24.4,5.4,98.3,1.39,50.4,7,Highly Recommended
Edible Seaweed Film,9.6,4.8,100.0,0.48,4.1,2,Consider as Option
Edible Seaweed Film,6.4,8.2,100.0,0.23,6.3,4,Consider as Option
Virgin Plastic (PP),60.4,9.5,3.1,4.95,20.3,10,Avoid
Bioplastic (PLA),56.5,5.3,86.6,1.51,44.7,8,Highly Recommended
Bamboo Fiber,52.2,2.1,98.0,0.96,39.9,8,Highly Recommended
Virgin Plastic (PP),80.8,9.1,2.9,5.43,17.3,10,Avoid
Aluminum Foil,24.9,4.0,0.0,10.6,91.6,10,Avoid
Bagasse (Sugarcane),32.3,1.4,97.0,1.1,53.7,7,Highly Recommended
Recycled Cardboard,25.7,5.8,94.3,1.28,80.9,4,Highly Recommended
Mushroom Mycelium,12.5,8.7,100.0,0.36,100.0,5,Highly Recommended
Recycled Cardboard,20.0,3.9,95.2,1.08,84.4,4,Highly Recommended
Virgin Plastic (PP),66.4,4.9,1.7,5.09,23.6,10,Avoid
Mushroom Mycelium,14.0,4.4,100.0,0.35,100.0,6,Highly Recommended
Virgin Plastic (PP),62.6,8.9,3.5,4.82,25.5,10,Avoid
Bamboo Fiber,40.2,4.7,97.9,0.5,39.0,8,Highly Recommended
Bagasse (Sugarcane),28.0,1.7,97.5,1.28,67.6,7,Highly Recommended
Recycled Cardboard,18.7,4.2,99.1,1.28,94.5,4,Highly Recommended
Bamboo Fiber,59.3,3.8,95.5,1.06,49.6,6,Highly Recommended
Bioplastic (PLA),50.0,5.6,82.8,2.47,41.5,8,Consider as Option
Edible Seaweed Film,9.9,1.3,100.0,0.32,9.8,4,Consider as Option
Mushroom Mycelium,21.6,7.2,100.0,0.12,100.0,5,Highly Recommended
Bagasse (Sugarcane),39.5,8.7,95.5,1.22,55.2,5,Highly Recommended
Edible Seaweed Film,11.1,3.5,100.0,0.21,5.7,3,Consider as Option
Bamboo Fiber,59.9,6.8,96.0,0.98,43.5,6,Highly Recommended
Bioplastic (PLA),62.6,8.8,80.4,1.62,41.5,9,Highly Recommended
Aluminum Foil,26.9,3.1,0.0,10.56,96.2,10,Avoid
Aluminum Foil,44.1,3.4,0.0,10.26,91.1,10,Avoid
Bioplastic (PLA),69.1,4.9,91.9,1.64,53.8,8,Highly Recommended
Virgin Plastic (PP),75.6,4.3,4.5,4.87,16.9,10,Avoid
Edible Seaweed Film,8.3,5.2,100.0,0.4,6.4,4,Consider as Option
Recycled Cardboard,15.3,3.5,96.3,0.89,99.1,3,Highly Recommended
Bagasse (Sugarcane),31.6,2.9,97.4,1.21,50.3,5,Highly Recommended
Aluminum Foil,21.1,2.9,0.0,10.69,99.5,10,Avoid
Edible Seaweed Film,12.9,6.6,100.0,0.33,3.3,2,Consider as Option
Aluminum Foil,30.0,2.1,0.0,10.78,94.1,10,Avoid
Aluminum Foil,28.2,9.1,0.0,11.36,94.7,10,Avoid
Bioplastic (PLA),73.4,6.9,92.9,1.96,48.1,8,Highly Recommended
Bagasse (Sugarcane),31.9,6.1,95.8,0.97,67.2,7,Highly Recommended
Edible Seaweed Film,12.9,5.4,100.0,0.3,1.4,2,Consider as Option
Bamboo Fiber,59.1,9.7,95.9,0.65,31.9,8,Highly Recommended
Virgin Plastic (PP),78.5,8.6,2.3,3.73,25.1,10,Avoid
Edible Seaweed Film,12.4,7.4,100.0,0.38,2.2,4,Consider as Option
Bamboo Fiber,58.8,1.1,95.6,0.6,31.0,7,Highly Recommended
Mushroom Mycelium,16.3,7.5,100.0,0.38,100.0,6,Highly Recommended
Bamboo Fiber,41.5,5.2,95.5,1.11,35.8,8,Highly Recommended
Mushroom Mycelium,22.4,8.6,100.0,0.22,100.0,5,Highly Recommended
Recycled Cardboard,30.7,0.5,93.5,0.83,89.0,4,Highly Recommended
Edible Seaweed Film,6.1,9.1,100.0,0.4,5.0,3,Consider as Option
Bamboo Fiber,47.2,9.7,96.3,0.69,44.5,8,Highly Recommended
Mushroom Mycelium,15.1,5.4,100.0,0.3,100.0,5,Highly Recommended
Bamboo Fiber,57.5,0.8,98.6,0.59,44.6,6,Highly Recommended
Virgin Plastic (PP),76.5,3.3,2.0,4.68,25.9,10,Avoid
Edible Seaweed Film,7.4,8.8,100.0,0.42,0.6,4,Consider as Option
Virgin Plastic (PP),65.3,5.8,4.4,5.59,11.3,10,Avoid
Aluminum Foil,40.8,8.7,0.0,8.49,98.3,10,Avoid
Edible Seaweed Film,5.5,3.3,100.0,0.37,1.3,4,Consider as Option
Bagasse (Sugarcane),27.9,8.8,99.6,1.27,56.4,7,Highly Recommended
Bioplastic (PLA),51.7,0.6,93.2,1.88,49.7,8,Highly Recommended
Bamboo Fiber,59.4,1.3,95.6,0.51,39.5,8,Highly Recommended
Bagasse (Sugarcane),35.9,6.1,95.3,1.39,62.6,5,Highly Recommended
Recycled Cardboard,19.6,6.1,91.5,0.83,86.2,3,Highly Recommended
Mushroom Mycelium,19.2,6.4,100.0,0.29,100.0,6,Highly Recommended
Bagasse (Sugarcane),37.5,7.1,95.5,1.18,51.4,5,Highly Recommended
Recycled Cardboard,25.7,5.8,94.3,1.28,80.9,4,Highly Recommended
Virgin Plastic (PP),81.7,1.4,3.2,5.21,20.6,10,Avoid
Aluminum Foil,43.8,2.4,0.0,8.8,95.2,10,Avoid
Aluminum Foil,20.5,1.5,0.0,9.48,99.0,10,Avoid
Bagasse (Sugarcane),28.0,2.5,98.8,1.02,51.3,5,Highly Recommended
Virgin Plastic (PP),72.6,1.9,4.8,4.9,29.4,10,Avoid
Bamboo Fiber,46.2,2.6,98.6,1.1,38.4,7,Highly Recommended
Recycled Cardboard,34.3,6.2,90.3,1.36,96.1,4,Highly Recommended
Edible Seaweed Film,6.0,9.0,100.0,0.39,8.7,3,Consider as Option
Bioplastic (PLA),55.8,2.0,83.2,1.55,54.7,9,Highly Recommended
Virgin Plastic (PP),86.1,7.0,4.9,4.26,12.8,10,Avoid
Bamboo Fiber,41.1,9.9,95.1,0.55,39.7,6,Highly Recommended
Bamboo Fiber,52.6,1.7,98.1,0.66,39.0,7,Highly Recommended
Virgin Plastic (PP),65.3,9.9,0.1,5.63,27.9,10,Avoid
Aluminum Foil,42.8,2.9,0.0,11.05,96.6,10,Avoid
Mushroom Mycelium,14.4,4.5,100.0,0.16,100.0,5,Highly Recommended
Edible Seaweed Film,7.1,1.9,100.0,0.33,3.4,3,Consider as Option
Bamboo Fiber,51.0,8.5,99.1,0.74,38.1,7,Highly Recommended
Virgin Plastic (PP),80.9,1.9,4.2,3.95,22.9,10,Avoid
Mushroom Mycelium,22.3,8.0,100.0,0.37,100.0,5,Highly Recommended
Recycled Cardboard,31.3,5.1,94.5,1.23,82.0,4,Highly Recommended
Recycled Cardboard,23.4,7.3,90.0,1.04,89.3,4,Highly Recommended
Edible Seaweed Film,5.5,8.7,100.0,0.31,5.8,2,Consider as Option
Bioplastic (PLA),66.8,6.4,82.5,1.87,47.3,9,Highly Recommended
Mushroom Mycelium,11.9,9.5,100.0,0.18,100.0,5,Highly Recommended
Bagasse (Sugarcane),20.5,2.8,97.9,1.05,54.4,6,Highly Recommended
Bagasse (Sugarcane),39.0,0.6,95.9,1.19,56.6,6,Highly Recommended
Edible Seaweed Film,10.1,2.7,100.0,0.24,2.6,4,Consider as Option
Bamboo Fiber,54.6,5.2,96.6,0.91,48.8,7,Highly Recommended
Bamboo Fiber,49.6,1.8,97.2,0.75,48.7,7,Highly Recommended
Bioplastic (PLA),71.5,3.5,84.8,1.56,47.3,8,Highly Recommended
Bagasse (Sugarcane),20.4,7.7,95.6,1.34,60.0,5,Highly Recommended
Bamboo Fiber,46.8,1.9,95.8,0.73,35.4,8,Highly Recommended
Recycled Cardboard,34.5,6.2,98.4,1.19,93.3,4,Highly Recommended
Aluminum Foil,31.9,7.8,0.0,8.43,97.5,10,Avoid
Bioplastic (PLA),70.8,3.0,92.4,2.14,42.4,8,Highly Recommended
Bioplastic (PLA),54.6,3.7,92.9,2.18,52.0,8,Highly Recommended
Mushroom Mycelium,13.3,8.9,100.0,0.32,100.0,5,Highly Recommended
Bioplastic (PLA),54.8,3.1,94.8,2.37,58.6,8,Highly Recommended
Recycled Cardboard,19.9,1.5,92.6,0.93,84.3,3,Highly Recommended
Bamboo Fiber,53.2,3.2,95.9,0.55,35.0,7,Highly Recommended
Mushroom Mycelium,15.1,1.6,100.0,0.29,100.0,6,Highly Recommended
Edible Seaweed Film,14.1,9.9,100.0,0.28,2.5,2,Consider as Option
Bagasse (Sugarcane),22.5,1.9,98.3,1.16,55.4,5,Highly Recommended
Bioplastic (PLA),60.0,8.7,93.9,2.04,51.2,9,Highly Recommended
Edible Seaweed Film,10.5,7.3,100.0,0.25,6.7,2,Consider as Option
Recycled Cardboard,19.7,8.9,95.9,1.21,84.3,3,Highly Recommended
Bamboo Fiber,55.6,5.4,99.9,0.51,44.0,6,Highly Recommended
Bamboo Fiber,58.0,2.1,96.9,0.95,39.9,7,Highly Recommended
Bamboo Fiber,52.0,5.2,96.3,0.76,34.7,7,Highly Recommended
Aluminum Foil,41.7,8.6,0.0,11.5,91.1,10,Avoid
Virgin Plastic (PP),85.6,7.6,0.5,4.43,12.2,10,Avoid
Mushroom Mycelium,12.3,1.7,100.0,0.21,100.0,4,Highly Recommended
Virgin Plastic (PP),63.9,2.4,4.5,4.83,14.1,10,Avoid
Edible Seaweed Film,9.4,8.4,100.0,0.29,4.6,3,Consider as Option
Bamboo Fiber,45.4,1.7,97.7,1.18,47.5,8,Highly Recommended
Bamboo Fiber,42.9,8.2,95.4,0.65,30.5,8,Highly Recommended
Bagasse (Sugarcane),24.3,6.2,99.4,1.36,57.4,5,Highly Recommended
Mushroom Mycelium,23.6,0.6,100.0,0.26,100.0,5,Highly Recommended
Edible Seaweed Film,5.5,9.2,100.0,0.31,3.0,2,Consider as Option
Edible Seaweed Film,12.9,6.6,100.0,0.33,3.3,2,Consider as Option
Bagasse (Sugarcane),28.6,4.5,98.3,1.14,64.6,5,Highly Recommended
Bagasse (Sugarcane),29.6,4.2,98.0,1.08,50.4,7,Highly Recommended
Virgin Plastic (PP),65.7,4.9,4.0,5.09,19.7,10,Avoid
Mushroom Mycelium,15.8,9.1,100.0,0.17,100.0,5,Highly Recommended
Edible Seaweed Film,9.7,2.2,100.0,0.5,9.4,2,Consider as Option
Edible Seaweed Film,14.2,3.7,100.0,0.37,7.7,4,Consider as Option
Aluminum Foil,26.5,7.6,0.0,9.29,97.4,10,Avoid
Mushroom Mycelium,14.3,9.0,100.0,0.19,100.0,4,Highly Recommended
Edible Seaweed Film,9.3,1.3,100.0,0.3,6.3,4,Consider as Option
Virgin Plastic (PP),71.7,3.0,1.6,5.88,13.3,10,Avoid
Edible Seaweed Film,7.6,2.2,100.0,0.46,1.6,4,Consider as Option
Recycled Cardboard,31.7,9.7,91.9,1.18,95.1,3,Highly Recommended
Bioplastic (PLA),53.4,7.0,82.6,2.08,54.1,8,Consider as Option
Mushroom Mycelium,10.4,2.0,100.0,0.3,100.0,4,Highly Recommended
Edible Seaweed Film,9.7,3.0,100.0,0.33,1.6,4,Consider as Option
Bioplastic (PLA),74.9,7.9,89.0,1.76,57.0,8,Highly Recommended
Edible Seaweed Film,6.8,4.0,100.0,0.3,4.5,4,Consider as Option
Aluminum Foil,23.7,1.3,0.0,10.76,91.4,10,Avoid
Edible Seaweed Film,9.3,5.1,100.0,0.31,4.3,4,Consider as Option
Bagasse (Sugarcane),22.0,5.3,98.2,1.18,52.5,5,Highly Recommended
Bagasse (Sugarcane),36.5,8.1,95.4,1.37,59.2,7,Highly Recommended
Bamboo Fiber,58.3,7.7,95.4,1.04,32.1,6,Highly Recommended
Recycled Cardboard,16.1,8.4,92.5,1.16,91.9,4,Highly Recommended
Aluminum Foil,22.8,6.5,0.0,9.02,95.7,10,Avoid
Recycled Cardboard,31.3,1.2,96.7,1.14,99.6,4,Highly Recommended
Mushroom Mycelium,17.7,6.6,100.0,0.28,100.0,5,Highly Recommended
Bioplastic (PLA),53.7,1.3,87.5,2.36,46.8,8,Consider as Option
Bagasse (Sugarcane),30.3,4.4,95.4,1.35,64.7,6,Highly Recommended
Bamboo Fiber,56.1,0.6,95.3,0.94,48.9,6,Highly Recommended
Aluminum Foil,22.3,3.5,0.0,8.33,96.2,10,Avoid
Bagasse (Sugarcane),31.5,3.6,97.4,1.35,60.1,7,Highly Recommended
Bagasse (Sugarcane),37.7,3.9,97.3,0.97,69.8,7,Highly Recommended
Bamboo Fiber,52.1,9.0,95.5,1.01,33.6,7,Highly Recommended
Edible Seaweed Film,5.1,1.1,100.0,0.36,6.9,4,Consider as Option
Bagasse (Sugarcane),21.7,8.5,97.3,1.2,57.6,5,Highly Recommended
Recycled Cardboard,25.7,4.4,94.9,0.85,84.2,4,Highly Recommended
Virgin Plastic (PP),86.0,6.3,0.2,5.76,11.7,10,Avoid
Mushroom Mycelium,24.6,4.6,100.0,0.3,100.0,6,Highly Recommended
Edible Seaweed Film,9.5,8.9,100.0,0.5,7.0,2,Consider as Option
Bagasse (Sugarcane),25.1,7.9,98.4,1.4,66.8,6,Highly Recommended
Bamboo Fiber,53.4,6.1,100.0,1.07,35.9,6,Highly Recommended
Mushroom Mycelium,12.1,0.5,100.0,0.22,100.0,5,Highly Recommended
Recycled Cardboard,19.3,7.5,91.0,0.97,93.0,3,Highly Recommended
Aluminum Foil,29.7,9.6,0.0,9.43,95.5,10,Avoid
Bioplastic (PLA),72.7,2.3,82.8,2.46,59.3,8,Consider as Option
Bagasse (Sugarcane),24.5,3.1,95.7,1.3,56.7,5,Highly Recommended
Virgin Plastic (PP),61.6,5.3,1.8,3.79,14.4,10,Avoid
Mushroom Mycelium,15.8,4.5,100.0,0.18,100.0,5,Highly Recommended
Bamboo Fiber,53.1,9.1,98.8,0.78,33.6,7,Highly Recommended
Aluminum Foil,42.9,1.3,0.0,10.72,100.0,10,Avoid
Recycled Cardboard,24.7,9.5,96.4,1.44,84.4,4,Highly Recommended
Aluminum Foil,20.0,6.9,0.0,11.89,99.2,10,Avoid
Edible Seaweed Film,6.4,8.2,100.0,0.23,6.3,4,Consider as Option
Aluminum Foil,37.6,3.8,0.0,10.84,90.1,10,Avoid
Aluminum Foil,41.0,7.9,0.0,10.6,96.2,10,Avoid
Aluminum Foil,33.4,9.1,0.0,9.97,97.6,10,Avoid
Edible Seaweed Film,5.2,4.5,100.0,0.36,4.8,2,Consider as Option
Bamboo Fiber,55.1,1.9,95.6,0.96,49.3,7,Highly Recommended
Aluminum Foil,21.2,8.8,0.0,9.83,93.6,10,Avoid
Bagasse (Sugarcane),22.7,8.2,100.0,1.38,68.0,6,Highly Recommended
Aluminum Foil,34.3,5.0,0.0,8.42,97.2,10,Avoid
Bioplastic (PLA),63.6,0.8,85.1,2.24,59.7,8,Highly Recommended
Bagasse (Sugarcane),30.3,4.4,95.4,1.35,64.7,6,Highly Recommended
Aluminum Foil,33.9,1.6,0.0,9.9,96.7,10,Avoid
Recycled Cardboard,25.1,1.8,97.7,1.06,93.5,3,Highly Recommended
Edible Seaweed Film,6.4,3.1,100.0,0.39,8.5,2,Consider as Option
Aluminum Foil,20.4,4.5,0.0,10.36,95.6,10,Avoid
Virgin Plastic (PP),85.2,2.4,2.7,4.16,12.5,10,Avoid
Edible Seaweed Film,10.4,6.1,100.0,0.43,8.8,2,Consider as Option
Recycled Cardboard,26.0,2.4,92.4,1.1,90.4,5,Highly Recommended
Bioplastic (PLA),66.2,8.8,92.7,2.41,51.5,9,Highly Recommended
Bioplastic (PLA),66.3,6.0,85.8,1.53,58.4,8,Highly Recommended
Bamboo Fiber,43.7,7.2,95.1,1.13,47.5,7,Highly Recommended
Edible Seaweed Film,9.6,4.8,100.0,0.48,4.1,2,Consider as Option
Bagasse (Sugarcane),38.9,6.4,98.2,1.19,56.4,5,Highly Recommended
Bagasse (Sugarcane),32.1,1.7,99.5,1.32,54.2,7,Highly Recommended
Bioplastic (PLA),70.0,5.6,93.0,1.51,45.3,9,Highly Recommended
Edible Seaweed Film,5.0,5.1,100.0,0.41,5.7,3,Consider as Option
Aluminum Foil,33.3,3.5,0.0,8.63,93.0,10,Avoid
Recycled Cardboard,26.0,2.6,99.2,1.22,88.3,4,Highly Recommended
Mushroom Mycelium,23.9,3.2,100.0,0.26,100.0,5,Highly Recommended
Aluminum Foil,40.3,3.0,0.0,9.09,90.8,10,Avoid
Edible Seaweed Film,9.1,7.5,100.0,0.49,4.9,4,Consider as Option
Mushroom Mycelium,19.5,9.4,100.0,0.14,100.0,5,Highly Recommended
Edible Seaweed Film,12.8,8.8,100.0,0.43,3.3,3,Consider as Option
Aluminum Foil,43.8,9.4,0.0,8.26,95.4,10,Avoid
Mushroom Mycelium,11.5,8.3,100.0,0.35,100.0,4,Highly Recommended
Bagasse (Sugarcane),39.7,4.5,97.9,1.04,59.2,6,Highly Recommended
Recycled Cardboard,30.6,6.4,97.2,0.85,93.3,4,Highly Recommended
Bamboo Fiber,43.8,1.9,97.1,0.74,40.3,7,Highly Recommended
Bagasse (Sugarcane),26.6,5.4,99.7,0.99,56.0,5,Highly Recommended
Bamboo Fiber,47.6,9.6,98.2,0.69,30.3,6,Highly Recommended
Bioplastic (PLA),67.8,6.4,86.6,2.48,54.3,8,Consider as Option
Mushroom Mycelium,18.8,2.8,100.0,0.39,100.0,6,Highly Recommended
Aluminum Foil,31.7,4.0,0.0,8.25,92.4,10,Avoid
Bioplastic (PLA),60.9,1.1,88.1,2.12,41.4,8,Consider as Option
Bamboo Fiber,58.1,9.6,95.1,0.61,42.1,8,Highly Recommended
Bamboo Fiber,57.2,7.2,95.7,0.5,37.1,8,Highly Recommended
Virgin Plastic (PP),60.3,9.2,4.3,4.38,21.1,10,Avoid
Virgin Plastic (PP),85.6,3.8,2.4,4.45,26.6,10,Avoid
Bagasse (Sugarcane),30.9,5.3,97.2,1.15,52.9,7,Highly Recommended
Bagasse (Sugarcane),23.4,3.5,96.2,0.91,69.2,6,Highly Recommended
Recycled Cardboard,31.2,7.4,97.1,0.89,89.3,3,Highly Recommended
Aluminum Foil,41.5,3.7,0.0,10.74,95.0,10,Avoid
Bioplastic (PLA),74.9,7.9,89.0,1.76,57.0,8,Highly Recommended
Mushroom Mycelium,17.6,1.3,100.0,0.37,100.0,5,Highly Recommended
Aluminum Foil,20.6,8.8,0.0,11.31,99.5,10,Avoid
Edible Seaweed Film,11.9,3.6,100.0,0.35,8.5,2,Consider as Option
Bagasse (Sugarcane),29.5,6.7,95.2,1.17,57.6,5,Highly Recommended
Bamboo Fiber,50.0,1.1,96.6,0.81,47.3,8,Highly Recommended
Virgin Plastic (PP),65.8,4.9,4.6,3.53,18.2,10,Avoid
Bagasse (Sugarcane),33.1,6.5,95.2,1.4,51.5,7,Highly Recommended
Edible Seaweed Film,7.5,0.5,100.0,0.2,3.0,2,Consider as Option
Bagasse (Sugarcane),27.7,2.0,96.8,1.34,52.1,7,Highly Recommended
Recycled Cardboard,28.9,0.6,99.0,1.02,98.1,4,Highly Recommended
Mushroom Mycelium,16.8,1.8,100.0,0.19,100.0,5,Highly Recommended
Bioplastic (PLA),54.6,1.7,94.1,1.98,41.4,9,Highly Recommended
Bagasse (Sugarcane),28.9,5.2,96.0,1.4,59.9,6,Highly Recommended
Bamboo Fiber,56.1,2.3,98.0,0.56,33.8,6,Highly Recommended
Bamboo Fiber,46.7,0.7,98.6,1.07,40.7,7,Highly Recommended
Bagasse (Sugarcane),33.7,2.7,98.7,1.08,64.1,6,Highly Recommended
Aluminum Foil,43.2,8.1,0.0,9.15,91.7,10,Avoid
Aluminum Foil,20.4,4.5,0.0,10.36,95.6,10,Avoid
Aluminum Foil,38.8,9.3,0.0,10.89,98.9,10,Avoid
Recycled Cardboard,18.1,0.5,93.5,0.89,85.3,4,Highly Recommended
Bagasse (Sugarcane),30.9,9.5,98.9,0.94,59.9,7,Highly Recommended
Bioplastic (PLA),62.6,9.9,83.2,2.16,55.2,8,Consider as Option
Recycled Cardboard,17.9,8.6,96.1,0.88,99.3,4,Highly Recommended
Mushroom Mycelium,16.3,5.5,100.0,0.2,100.0,4,Highly Recommended
Bamboo Fiber,59.1,3.2,98.0,1.03,39.7,8,Highly Recommended
Aluminum Foil,33.5,4.7,0.0,10.18,94.9,10,Avoid
Edible Seaweed Film,12.8,5.0,100.0,0.34,8.9,3,Consider as Option
Virgin Plastic (PP),60.3,4.6,0.9,3.72,27.5,10,Avoid
Recycled Cardboard,20.8,0.6,90.4,0.99,89.6,5,Highly Recommended
Edible Seaweed Film,12.3,6.1,100.0,0.49,0.6,3,Consider as Option
Aluminum Foil,37.7,1.3,0.0,8.72,95.2,10,Avoid
Recycled Cardboard,32.2,6.2,90.1,1.05,80.5,5,Highly Recommended
Edible Seaweed Film,10.0,7.0,100.0,0.22,7.6,2,Consider as Option
Recycled Cardboard,29.3,5.5,92.3,0.92,82.5,5,Highly Recommended
Mushroom Mycelium,16.3,7.5,100.0,0.38,100.0,6,Highly Recommended
Bagasse (Sugarcane),36.9,8.8,99.2,1.38,52.2,5,Highly Recommended
Edible Seaweed Film,13.9,4.8,100.0,0.44,2.9,4,Consider as Option
Bamboo Fiber,47.8,3.3,96.1,0.65,36.5,7,Highly Recommended
Bioplastic (PLA),56.4,6.5,88.4,1.86,41.3,8,Highly Recommended
Bamboo Fiber,51.2,1.0,98.3,0.56,42.1,8,Highly Recommended
Bamboo Fiber,56.1,9.9,98.7,0.83,35.2,7,Highly Recommended
Aluminum Foil,21.2,4.5,0.0,10.24,94.8,10,Avoid
Edible Seaweed Film,8.7,3.5,100.0,0.23,9.3,2,Consider as Option
Recycled Cardboard,20.9,3.6,99.2,1.2,86.1,5,Highly Recommended
Virgin Plastic (PP),75.0,6.9,0.2,3.83,24.8,10,Avoid
Aluminum Foil,24.5,8.4,0.0,11.34,90.9,10,Avoid
Bagasse (Sugarcane),34.9,1.4,99.3,1.04,52.7,7,Highly Recommended
Virgin Plastic (PP),69.7,1.8,2.0,5.03,24.3,10,Avoid
Bioplastic (PLA),74.3,4.1,81.6,1.96,54.2,9,Highly Recommended
Edible Seaweed Film,10.4,7.2,100.0,0.36,5.3,3,Consider as Option
Bamboo Fiber,56.1,6.8,96.4,0.62,35.4,6,Highly Recommended
Aluminum Foil,38.3,3.3,0.0,8.83,97.4,10,Avoid
Aluminum Foil,36.9,6.1,0.0,10.25,93.5,10,Avoid
Aluminum Foil,39.3,0.6,0.0,9.26,94.2,10,Avoid
Bioplastic (PLA),65.2,1.9,87.1,2.34,59.9,8,Highly Recommended
Recycled Cardboard,31.4,2.0,91.5,1.02,92.1,3,Highly Recommended
Virgin Plastic (PP),66.3,2.6,2.3,5.67,10.8,10,Avoid
Bamboo Fiber,59.6,1.4,97.3,0.78,32.7,6,Highly Recommended
Virgin Plastic (PP),72.9,1.4,4.0,5.17,23.4,10,Avoid
Aluminum Foil,40.8,8.7,0.0,8.49,98.3,10,Avoid
Bagasse (Sugarcane),30.0,3.8,99.7,1.37,66.6,7,Highly Recommended
Mushroom Mycelium,16.8,1.8,100.0,0.19,100.0,5,Highly Recommended
Bamboo Fiber,49.3,3.4,99.5,0.84,34.9,6,Highly Recommended
Mushroom Mycelium,23.7,8.7,100.0,0.15,100.0,5,Highly Recommended
Mushroom Mycelium,15.7,1.3,100.0,0.38,100.0,6,Highly Recommended
Edible Seaweed Film,13.3,9.7,100.0,0.39,8.2,4,Consider as Option
Bagasse (Sugarcane),31.8,9.7,95.7,1.23,52.5,6,Highly Recommended
Bamboo Fiber,59.1,3.2,98.0,1.03,39.7,8,Highly Recommended
Recycled Cardboard,15.3,6.2,96.7,1.02,99.7,5,Highly Recommended
Mushroom Mycelium,12.1,9.7,100.0,0.1,100.0,4,Highly Recommended
